"tg","N","prob","w1","w2","w3"
"leads me to",6,2.56788305860551e-06,"leads","me","to"
"leads to a",7,2.9958635683731e-06,"leads","to","a"
"learn about the",7,2.9958635683731e-06,"learn","about","the"
"learn from the",6,2.56788305860551e-06,"learn","from","the"
"learn how to",28,1.19834542734924e-05,"learn","how","to"
"learn more about",11,4.70778560744344e-06,"learn","more","about"
"learn to be",5,2.13990254883793e-06,"learn","to","be"
"learn to live",9,3.85182458790827e-06,"learn","to","live"
"learned a lot",20,8.5596101953517e-06,"learned","a","lot"
"learned how to",8,3.42384407814068e-06,"learned","how","to"
"learned that the",8,3.42384407814068e-06,"learned","that","the"
"learning about the",8,3.42384407814068e-06,"learning","about","the"
"learning how to",14,5.99172713674619e-06,"learning","how","to"
"learning more about",6,2.56788305860551e-06,"learning","more","about"
"least as much",5,2.13990254883793e-06,"least","as","much"
"least in the",8,3.42384407814068e-06,"least","in","the"
"least once a",7,2.9958635683731e-06,"least","once","a"
"least one of",9,3.85182458790827e-06,"least","one","of"
"least percent of",7,2.9958635683731e-06,"least","percent","of"
"least some of",5,2.13990254883793e-06,"least","some","of"
"leave a comment",13,5.56374662697861e-06,"leave","a","comment"
"leave it to",6,2.56788305860551e-06,"leave","it","to"
"leave me alone",5,2.13990254883793e-06,"leave","me","alone"
"leave the house",7,2.9958635683731e-06,"leave","the","house"
"led by the",7,2.9958635683731e-06,"led","by","the"
"led me to",5,2.13990254883793e-06,"led","me","to"
"led to a",22,9.41557121488687e-06,"led","to","a"
"led to the",19,8.13162968558412e-06,"led","to","the"
"left and right",6,2.56788305860551e-06,"left","and","right"
"left for the",7,2.9958635683731e-06,"left","for","the"
"left in the",36,1.54072983516331e-05,"left","in","the"
"left of the",11,4.70778560744344e-06,"left","of","the"
"left on the",7,2.9958635683731e-06,"left","on","the"
"left the game",5,2.13990254883793e-06,"left","the","game"
"left the hospital",5,2.13990254883793e-06,"left","the","hospital"
"left the house",5,2.13990254883793e-06,"left","the","house"
"left to do",7,2.9958635683731e-06,"left","to","do"
"left to go",5,2.13990254883793e-06,"left","to","go"
"left with a",8,3.42384407814068e-06,"left","with","a"
"legislation that would",6,2.56788305860551e-06,"legislation","that","would"
"length of the",7,2.9958635683731e-06,"length","of","the"
"less and less",6,2.56788305860551e-06,"less","and","less"
"less likely to",8,3.42384407814068e-06,"less","likely","to"
"less of a",6,2.56788305860551e-06,"less","of","a"
"less than a",30,1.28394152930276e-05,"less","than","a"
"less than an",12,5.13576611721102e-06,"less","than","an"
"less than half",7,2.9958635683731e-06,"less","than","half"
"less than hours",7,2.9958635683731e-06,"less","than","hours"
"less than minutes",6,2.56788305860551e-06,"less","than","minutes"
"less than one",8,3.42384407814068e-06,"less","than","one"
"less than percent",9,3.85182458790827e-06,"less","than","percent"
"less than the",8,3.42384407814068e-06,"less","than","the"
"less than two",18,7.70364917581653e-06,"less","than","two"
"let alone the",9,3.85182458790827e-06,"let","alone","the"
"let go of",17,7.27566866604895e-06,"let","go","of"
"let her go",5,2.13990254883793e-06,"let","her","go"
"let her know",5,2.13990254883793e-06,"let","her","know"
"let him know",5,2.13990254883793e-06,"let","him","know"
"let it be",10,4.27980509767585e-06,"let","it","be"
"let it go",18,7.70364917581653e-06,"let","it","go"
"let me be",8,3.42384407814068e-06,"let","me","be"
"let me go",13,5.56374662697861e-06,"let","me","go"
"let me guess",6,2.56788305860551e-06,"let","me","guess"
"let me just",8,3.42384407814068e-06,"let","me","just"
"let me know",121,5.17856416818778e-05,"let","me","know"
"let me say",5,2.13990254883793e-06,"let","me","say"
"let me tell",10,4.27980509767585e-06,"let","me","tell"
"let them know",10,4.27980509767585e-06,"let","them","know"
"let us know",60,2.56788305860551e-05,"let","us","know"
"let you go",5,2.13990254883793e-06,"let","you","go"
"let you know",38,1.62632593711682e-05,"let","you","know"
"lets be honest",6,2.56788305860551e-06,"lets","be","honest"
"lets do it",14,5.99172713674619e-06,"lets","do","it"
"lets do this",5,2.13990254883793e-06,"lets","do","this"
"lets face it",11,4.70778560744344e-06,"lets","face","it"
"lets get it",12,5.13576611721102e-06,"lets","get","it"
"lets get this",15,6.41970764651378e-06,"lets","get","this"
"lets just say",17,7.27566866604895e-06,"lets","just","say"
"lets make a",5,2.13990254883793e-06,"lets","make","a"
"lets make it",5,2.13990254883793e-06,"lets","make","it"
"lets see how",6,2.56788305860551e-06,"lets","see","how"
"lets see if",5,2.13990254883793e-06,"lets","see","if"
"lets see what",8,3.42384407814068e-06,"lets","see","what"
"lets start with",5,2.13990254883793e-06,"lets","start","with"
"lets talk about",5,2.13990254883793e-06,"lets","talk","about"
"letter from the",5,2.13990254883793e-06,"letter","from","the"
"letter of intent",7,2.9958635683731e-06,"letter","of","intent"
"letter to the",8,3.42384407814068e-06,"letter","to","the"
"letting go of",6,2.56788305860551e-06,"letting","go","of"
"letting me know",7,2.9958635683731e-06,"letting","me","know"
"level of the",6,2.56788305860551e-06,"level","of","the"
"library of congress",5,2.13990254883793e-06,"library","of","congress"
"life and death",6,2.56788305860551e-06,"life","and","death"
"life and i",8,3.42384407814068e-06,"life","and","i"
"life and the",9,3.85182458790827e-06,"life","and","the"
"life as a",13,5.56374662697861e-06,"life","as","a"
"life for a",6,2.56788305860551e-06,"life","for","a"
"life for the",6,2.56788305860551e-06,"life","for","the"
"life he said",7,2.9958635683731e-06,"life","he","said"
"life i am",5,2.13990254883793e-06,"life","i","am"
"life i have",5,2.13990254883793e-06,"life","i","have"
"life i love",5,2.13990254883793e-06,"life","i","love"
"life i was",9,3.85182458790827e-06,"life","i","was"
"life if you",5,2.13990254883793e-06,"life","if","you"
"life in prison",8,3.42384407814068e-06,"life","in","prison"
"life in the",12,5.13576611721102e-06,"life","in","the"
"life is a",7,2.9958635683731e-06,"life","is","a"
"life is good",15,6.41970764651378e-06,"life","is","good"
"life is like",7,2.9958635683731e-06,"life","is","like"
"life is not",7,2.9958635683731e-06,"life","is","not"
"life is to",5,2.13990254883793e-06,"life","is","to"
"life of a",11,4.70778560744344e-06,"life","of","a"
"life of the",14,5.99172713674619e-06,"life","of","the"
"life on the",8,3.42384407814068e-06,"life","on","the"
"life right now",9,3.85182458790827e-06,"life","right","now"
"life so much",5,2.13990254883793e-06,"life","so","much"
"life to the",8,3.42384407814068e-06,"life","to","the"
"life with the",5,2.13990254883793e-06,"life","with","the"
"life would be",6,2.56788305860551e-06,"life","would","be"
"light at the",5,2.13990254883793e-06,"light","at","the"
"light of the",15,6.41970764651378e-06,"light","of","the"
"light on the",8,3.42384407814068e-06,"light","on","the"
"light up the",5,2.13990254883793e-06,"light","up","the"
"like a baby",5,2.13990254883793e-06,"like","a","baby"
"like a big",7,2.9958635683731e-06,"like","a","big"
"like a boss",11,4.70778560744344e-06,"like","a","boss"
"like a champ",6,2.56788305860551e-06,"like","a","champ"
"like a dream",6,2.56788305860551e-06,"like","a","dream"
"like a fun",6,2.56788305860551e-06,"like","a","fun"
"like a good",25,1.06995127441896e-05,"like","a","good"
"like a great",17,7.27566866604895e-06,"like","a","great"
"like a kid",6,2.56788305860551e-06,"like","a","kid"
"like a little",9,3.85182458790827e-06,"like","a","little"
"like a lot",11,4.70778560744344e-06,"like","a","lot"
"like a man",15,6.41970764651378e-06,"like","a","man"
"like a mother",5,2.13990254883793e-06,"like","a","mother"
"like a really",7,2.9958635683731e-06,"like","a","really"
"like a wild",5,2.13990254883793e-06,"like","a","wild"
"like any other",8,3.42384407814068e-06,"like","any","other"
"like everyone else",6,2.56788305860551e-06,"like","everyone","else"
"like he was",6,2.56788305860551e-06,"like","he","was"
"like i am",13,5.56374662697861e-06,"like","i","am"
"like i did",7,2.9958635683731e-06,"like","i","did"
"like i dont",9,3.85182458790827e-06,"like","i","dont"
"like i had",8,3.42384407814068e-06,"like","i","had"
"like i have",14,5.99172713674619e-06,"like","i","have"
"like i just",5,2.13990254883793e-06,"like","i","just"
"like i love",6,2.56788305860551e-06,"like","i","love"
"like i need",6,2.56788305860551e-06,"like","i","need"
"like i said",21,8.98759070511929e-06,"like","i","said"
"like i should",6,2.56788305860551e-06,"like","i","should"
"like i want",5,2.13990254883793e-06,"like","i","want"
"like i was",20,8.5596101953517e-06,"like","i","was"
"like if i",5,2.13990254883793e-06,"like","if","i"
"like if you",5,2.13990254883793e-06,"like","if","you"
"like im gonna",5,2.13990254883793e-06,"like","im","gonna"
"like in the",10,4.27980509767585e-06,"like","in","the"
"like it and",6,2.56788305860551e-06,"like","it","and"
"like it but",5,2.13990254883793e-06,"like","it","but"
"like it i",9,3.85182458790827e-06,"like","it","i"
"like it is",6,2.56788305860551e-06,"like","it","is"
"like it the",5,2.13990254883793e-06,"like","it","the"
"like it was",19,8.13162968558412e-06,"like","it","was"
"like it when",5,2.13990254883793e-06,"like","it","when"
"like it will",5,2.13990254883793e-06,"like","it","will"
"like it would",5,2.13990254883793e-06,"like","it","would"
"like its a",8,3.42384407814068e-06,"like","its","a"
"like ive been",8,3.42384407814068e-06,"like","ive","been"
"like me and",7,2.9958635683731e-06,"like","me","and"
"like me you",6,2.56788305860551e-06,"like","me","you"
"like no other",8,3.42384407814068e-06,"like","no","other"
"like one of",5,2.13990254883793e-06,"like","one","of"
"like so many",6,2.56788305860551e-06,"like","so","many"
"like that but",7,2.9958635683731e-06,"like","that","but"
"like that i",16,6.84768815628136e-06,"like","that","i"
"like that it",8,3.42384407814068e-06,"like","that","it"
"like that the",6,2.56788305860551e-06,"like","that","the"
"like that you",9,3.85182458790827e-06,"like","that","you"
"like the best",5,2.13990254883793e-06,"like","the","best"
"like the fact",5,2.13990254883793e-06,"like","the","fact"
"like the first",6,2.56788305860551e-06,"like","the","first"
"like the idea",5,2.13990254883793e-06,"like","the","idea"
"like the new",8,3.42384407814068e-06,"like","the","new"
"like the old",8,3.42384407814068e-06,"like","the","old"
"like the one",8,3.42384407814068e-06,"like","the","one"
"like the rest",6,2.56788305860551e-06,"like","the","rest"
"like the sun",5,2.13990254883793e-06,"like","the","sun"
"like the way",11,4.70778560744344e-06,"like","the","way"
"like the weather",5,2.13990254883793e-06,"like","the","weather"
"like the world",5,2.13990254883793e-06,"like","the","world"
"like there is",6,2.56788305860551e-06,"like","there","is"
"like they are",11,4.70778560744344e-06,"like","they","are"
"like they were",5,2.13990254883793e-06,"like","they","were"
"like this and",8,3.42384407814068e-06,"like","this","and"
"like this i",12,5.13576611721102e-06,"like","this","i"
"like this in",5,2.13990254883793e-06,"like","this","in"
"like this is",14,5.99172713674619e-06,"like","this","is"
"like this one",11,4.70778560744344e-06,"like","this","one"
"like this the",6,2.56788305860551e-06,"like","this","the"
"like to be",23,9.84355172465446e-06,"like","to","be"
"like to do",16,6.84768815628136e-06,"like","to","do"
"like to eat",5,2.13990254883793e-06,"like","to","eat"
"like to get",10,4.27980509767585e-06,"like","to","get"
"like to give",5,2.13990254883793e-06,"like","to","give"
"like to go",8,3.42384407814068e-06,"like","to","go"
"like to have",13,5.56374662697861e-06,"like","to","have"
"like to join",7,2.9958635683731e-06,"like","to","join"
"like to know",13,5.56374662697861e-06,"like","to","know"
"like to make",6,2.56788305860551e-06,"like","to","make"
"like to play",9,3.85182458790827e-06,"like","to","play"
"like to read",6,2.56788305860551e-06,"like","to","read"
"like to say",5,2.13990254883793e-06,"like","to","say"
"like to see",37,1.58352788614007e-05,"like","to","see"
"like to share",11,4.70778560744344e-06,"like","to","share"
"like to take",11,4.70778560744344e-06,"like","to","take"
"like to talk",7,2.9958635683731e-06,"like","to","talk"
"like to tell",5,2.13990254883793e-06,"like","to","tell"
"like to thank",19,8.13162968558412e-06,"like","to","thank"
"like to think",15,6.41970764651378e-06,"like","to","think"
"like to use",10,4.27980509767585e-06,"like","to","use"
"like to win",5,2.13990254883793e-06,"like","to","win"
"like to wish",5,2.13990254883793e-06,"like","to","wish"
"like we have",5,2.13990254883793e-06,"like","we","have"
"like we were",6,2.56788305860551e-06,"like","we","were"
"like what i",5,2.13990254883793e-06,"like","what","i"
"like what you",7,2.9958635683731e-06,"like","what","you"
"like when you",5,2.13990254883793e-06,"like","when","you"
"like years ago",5,2.13990254883793e-06,"like","years","ago"
"like you and",5,2.13990254883793e-06,"like","you","and"
"like you are",6,2.56788305860551e-06,"like","you","are"
"like you have",6,2.56788305860551e-06,"like","you","have"
"like you i",7,2.9958635683731e-06,"like","you","i"
"likely to be",30,1.28394152930276e-05,"likely","to","be"
"likely you are",5,2.13990254883793e-06,"likely","you","are"
"limit on the",6,2.56788305860551e-06,"limit","on","the"
"limited number of",5,2.13990254883793e-06,"limited","number","of"
"limited time offer",5,2.13990254883793e-06,"limited","time","offer"
"line for the",6,2.56788305860551e-06,"line","for","the"
"line in the",10,4.27980509767585e-06,"line","in","the"
"line is that",6,2.56788305860551e-06,"line","is","that"
"line of the",6,2.56788305860551e-06,"line","of","the"
"line with the",9,3.85182458790827e-06,"line","with","the"
"lined up for",5,2.13990254883793e-06,"lined","up","for"
"link to a",5,2.13990254883793e-06,"link","to","a"
"link to the",13,5.56374662697861e-06,"link","to","the"
"linked to the",8,3.42384407814068e-06,"linked","to","the"
"linking to amazon",8,3.42384407814068e-06,"linking","to","amazon"
"links to the",6,2.56788305860551e-06,"links","to","the"
"list goes on",7,2.9958635683731e-06,"list","goes","on"
"list of the",6,2.56788305860551e-06,"list","of","the"
"list of things",11,4.70778560744344e-06,"list","of","things"
"listen to a",7,2.9958635683731e-06,"listen","to","a"
"listen to him",6,2.56788305860551e-06,"listen","to","him"
"listen to it",9,3.85182458790827e-06,"listen","to","it"
"listen to me",6,2.56788305860551e-06,"listen","to","me"
"listen to my",11,4.70778560744344e-06,"listen","to","my"
"listen to some",7,2.9958635683731e-06,"listen","to","some"
"listen to the",26,1.11274932539572e-05,"listen","to","the"
"listen to them",6,2.56788305860551e-06,"listen","to","them"
"listened to the",6,2.56788305860551e-06,"listened","to","the"
"listening to a",6,2.56788305860551e-06,"listening","to","a"
"listening to him",5,2.13990254883793e-06,"listening","to","him"
"listening to it",6,2.56788305860551e-06,"listening","to","it"
"listening to music",7,2.9958635683731e-06,"listening","to","music"
"listening to my",7,2.9958635683731e-06,"listening","to","my"
"listening to some",6,2.56788305860551e-06,"listening","to","some"
"listening to the",32,1.36953763125627e-05,"listening","to","the"
"listening to your",6,2.56788305860551e-06,"listening","to","your"
"little bit more",7,2.9958635683731e-06,"little","bit","more"
"little bit of",45,1.92591229395413e-05,"little","bit","of"
"little girl i",6,2.56788305860551e-06,"little","girl","i"
"little girl who",5,2.13990254883793e-06,"little","girl","who"
"little more than",17,7.27566866604895e-06,"little","more","than"
"little or no",6,2.56788305860551e-06,"little","or","no"
"little over a",7,2.9958635683731e-06,"little","over","a"
"little to do",5,2.13990254883793e-06,"little","to","do"
"live a life",7,2.9958635683731e-06,"live","a","life"
"live at the",6,2.56788305860551e-06,"live","at","the"
"live for the",5,2.13990254883793e-06,"live","for","the"
"live in a",27,1.15554737637248e-05,"live","in","a"
"live in an",8,3.42384407814068e-06,"live","in","an"
"live in the",40,1.71192203907034e-05,"live","in","the"
"live it up",6,2.56788305860551e-06,"live","it","up"
"live on the",8,3.42384407814068e-06,"live","on","the"
"live tweeting the",5,2.13990254883793e-06,"live","tweeting","the"
"live up to",16,6.84768815628136e-06,"live","up","to"
"live with the",6,2.56788305860551e-06,"live","with","the"
"lived in a",7,2.9958635683731e-06,"lived","in","a"
"lived in the",11,4.70778560744344e-06,"lived","in","the"
"lived up to",6,2.56788305860551e-06,"lived","up","to"
"lives in a",5,2.13990254883793e-06,"lives","in","a"
"lives in the",7,2.9958635683731e-06,"lives","in","the"
"lives of the",5,2.13990254883793e-06,"lives","of","the"
"living a life",7,2.9958635683731e-06,"living","a","life"
"living in a",18,7.70364917581653e-06,"living","in","a"
"living in the",24,1.0271532234422e-05,"living","in","the"
"living in this",5,2.13990254883793e-06,"living","in","this"
"living with a",8,3.42384407814068e-06,"living","with","a"
"ll be a",6,2.56788305860551e-06,"ll","be","a"
"ll be able",6,2.56788305860551e-06,"ll","be","able"
"ll get a",6,2.56788305860551e-06,"ll","get","a"
"ll have to",12,5.13576611721102e-06,"ll","have","to"
"ll tell you",5,2.13990254883793e-06,"ll","tell","you"
"llc and amazon",8,3.42384407814068e-06,"llc","and","amazon"
"llc and or",8,3.42384407814068e-06,"llc","and","or"
"lo and behold",8,3.42384407814068e-06,"lo","and","behold"
"lobby of the",5,2.13990254883793e-06,"lobby","of","the"
"local grocery store",5,2.13990254883793e-06,"local","grocery","store"
"local law enforcement",6,2.56788305860551e-06,"local","law","enforcement"
"located in the",6,2.56788305860551e-06,"located","in","the"
"located on the",5,2.13990254883793e-06,"located","on","the"
"lol but i",5,2.13990254883793e-06,"lol","but","i"
"lol i dont",6,2.56788305860551e-06,"lol","i","dont"
"lol i got",5,2.13990254883793e-06,"lol","i","got"
"lol i guess",7,2.9958635683731e-06,"lol","i","guess"
"lol i have",14,5.99172713674619e-06,"lol","i","have"
"lol i just",5,2.13990254883793e-06,"lol","i","just"
"lol i know",7,2.9958635683731e-06,"lol","i","know"
"lol i love",11,4.70778560744344e-06,"lol","i","love"
"lol i need",6,2.56788305860551e-06,"lol","i","need"
"lol i think",9,3.85182458790827e-06,"lol","i","think"
"lol i was",9,3.85182458790827e-06,"lol","i","was"
"lol if you",7,2.9958635683731e-06,"lol","if","you"
"lol it was",5,2.13990254883793e-06,"lol","it","was"
"lol rt i",5,2.13990254883793e-06,"lol","rt","i"
"lol rt if",5,2.13990254883793e-06,"lol","rt","if"
"lol thank you",14,5.99172713674619e-06,"lol","thank","you"
"lol thanks for",5,2.13990254883793e-06,"lol","thanks","for"
"lol there is",5,2.13990254883793e-06,"lol","there","is"
"long after the",7,2.9958635683731e-06,"long","after","the"
"long ago the",5,2.13990254883793e-06,"long","ago","the"
"long as he",8,3.42384407814068e-06,"long","as","he"
"long as i",20,8.5596101953517e-06,"long","as","i"
"long as it",14,5.99172713674619e-06,"long","as","it"
"long as possible",5,2.13990254883793e-06,"long","as","possible"
"long as the",13,5.56374662697861e-06,"long","as","the"
"long as they",12,5.13576611721102e-06,"long","as","they"
"long as we",10,4.27980509767585e-06,"long","as","we"
"long as you",23,9.84355172465446e-06,"long","as","you"
"long enough for",5,2.13990254883793e-06,"long","enough","for"
"long enough to",11,4.70778560744344e-06,"long","enough","to"
"long history of",5,2.13990254883793e-06,"long","history","of"
"long line of",7,2.9958635683731e-06,"long","line","of"
"long list of",6,2.56788305860551e-06,"long","list","of"
"long long time",5,2.13990254883793e-06,"long","long","time"
"long story short",8,3.42384407814068e-06,"long","story","short"
"long time ago",18,7.70364917581653e-06,"long","time","ago"
"long time and",7,2.9958635683731e-06,"long","time","and"
"long time but",7,2.9958635683731e-06,"long","time","but"
"long time for",7,2.9958635683731e-06,"long","time","for"
"long time i",6,2.56788305860551e-06,"long","time","i"
"long time no",7,2.9958635683731e-06,"long","time","no"
"long time since",7,2.9958635683731e-06,"long","time","since"
"long time to",9,3.85182458790827e-06,"long","time","to"
"long way to",9,3.85182458790827e-06,"long","way","to"
"longer than the",5,2.13990254883793e-06,"longer","than","the"
"look a little",6,2.56788305860551e-06,"look","a","little"
"look as if",5,2.13990254883793e-06,"look","as","if"
"look as though",5,2.13990254883793e-06,"look","as","though"
"look at a",7,2.9958635683731e-06,"look","at","a"
"look at her",9,3.85182458790827e-06,"look","at","her"
"look at him",6,2.56788305860551e-06,"look","at","him"
"look at how",6,2.56788305860551e-06,"look","at","how"
"look at it",32,1.36953763125627e-05,"look","at","it"
"look at me",16,6.84768815628136e-06,"look","at","me"
"look at my",17,7.27566866604895e-06,"look","at","my"
"look at our",6,2.56788305860551e-06,"look","at","our"
"look at some",5,2.13990254883793e-06,"look","at","some"
"look at that",6,2.56788305860551e-06,"look","at","that"
"look at the",71,3.03866161934985e-05,"look","at","the"
"look at them",5,2.13990254883793e-06,"look","at","them"
"look at this",12,5.13576611721102e-06,"look","at","this"
"look at what",11,4.70778560744344e-06,"look","at","what"
"look at your",8,3.42384407814068e-06,"look","at","your"
"look back and",5,2.13990254883793e-06,"look","back","and"
"look back at",5,2.13990254883793e-06,"look","back","at"
"look back on",7,2.9958635683731e-06,"look","back","on"
"look for a",12,5.13576611721102e-06,"look","for","a"
"look for it",7,2.9958635683731e-06,"look","for","it"
"look for the",20,8.5596101953517e-06,"look","for","the"
"look forward to",96,4.10861289376882e-05,"look","forward","to"
"look in the",6,2.56788305860551e-06,"look","in","the"
"look into it",6,2.56788305860551e-06,"look","into","it"
"look into the",9,3.85182458790827e-06,"look","into","the"
"look it up",9,3.85182458790827e-06,"look","it","up"
"look like a",32,1.36953763125627e-05,"look","like","a"
"look like the",13,5.56374662697861e-06,"look","like","the"
"look like they",8,3.42384407814068e-06,"look","like","they"
"look like this",9,3.85182458790827e-06,"look","like","this"
"look of the",5,2.13990254883793e-06,"look","of","the"
"look on his",5,2.13990254883793e-06,"look","on","his"
"look out for",19,8.13162968558412e-06,"look","out","for"
"look to the",10,4.27980509767585e-06,"look","to","the"
"look up to",5,2.13990254883793e-06,"look","up","to"
"looked at me",13,5.56374662697861e-06,"looked","at","me"
"looked at the",12,5.13576611721102e-06,"looked","at","the"
"looked like a",13,5.56374662697861e-06,"looked","like","a"
"looked like the",5,2.13990254883793e-06,"looked","like","the"
"looked more like",5,2.13990254883793e-06,"looked","more","like"
"looked up at",5,2.13990254883793e-06,"looked","up","at"
"looking at a",9,3.85182458790827e-06,"looking","at","a"
"looking at it",5,2.13990254883793e-06,"looking","at","it"
"looking at me",9,3.85182458790827e-06,"looking","at","me"
"looking at my",6,2.56788305860551e-06,"looking","at","my"
"looking at the",37,1.58352788614007e-05,"looking","at","the"
"looking back at",5,2.13990254883793e-06,"looking","back","at"
"looking for a",92,3.93742068986178e-05,"looking","for","a"
"looking for an",5,2.13990254883793e-06,"looking","for","an"
"looking for in",5,2.13990254883793e-06,"looking","for","in"
"looking for more",5,2.13990254883793e-06,"looking","for","more"
"looking for new",5,2.13990254883793e-06,"looking","for","new"
"looking for people",5,2.13990254883793e-06,"looking","for","people"
"looking for something",9,3.85182458790827e-06,"looking","for","something"
"looking for the",15,6.41970764651378e-06,"looking","for","the"
"looking for work",5,2.13990254883793e-06,"looking","for","work"
"looking forward to",291,0.000124542328342367,"looking","forward","to"
"looking into the",10,4.27980509767585e-06,"looking","into","the"
"looking like a",8,3.42384407814068e-06,"looking","like","a"
"looking out for",5,2.13990254883793e-06,"looking","out","for"
"looks a lot",7,2.9958635683731e-06,"looks","a","lot"
"looks as if",5,2.13990254883793e-06,"looks","as","if"
"looks forward to",6,2.56788305860551e-06,"looks","forward","to"
"looks like a",46,1.96871034493089e-05,"looks","like","a"
"looks like an",7,2.9958635683731e-06,"looks","like","an"
"looks like he",5,2.13990254883793e-06,"looks","like","he"
"looks like i",7,2.9958635683731e-06,"looks","like","i"
"looks like im",7,2.9958635683731e-06,"looks","like","im"
"looks like it",9,3.85182458790827e-06,"looks","like","it"
"looks like its",8,3.42384407814068e-06,"looks","like","its"
"looks like the",15,6.41970764651378e-06,"looks","like","the"
"looks like this",6,2.56788305860551e-06,"looks","like","this"
"looks like we",7,2.9958635683731e-06,"looks","like","we"
"looks like you",6,2.56788305860551e-06,"looks","like","you"
"looks to be",5,2.13990254883793e-06,"looks","to","be"
"lord jesus christ",5,2.13990254883793e-06,"lord","jesus","christ"
"lord of the",7,2.9958635683731e-06,"lord","of","the"
"lord your god",6,2.56788305860551e-06,"lord","your","god"
"los angeles and",7,2.9958635683731e-06,"los","angeles","and"
"los angeles county",7,2.9958635683731e-06,"los","angeles","county"
"los angeles lakers",6,2.56788305860551e-06,"los","angeles","lakers"
"los angeles times",9,3.85182458790827e-06,"los","angeles","times"
"lose sight of",6,2.56788305860551e-06,"lose","sight","of"
"loss of million",7,2.9958635683731e-06,"loss","of","million"
"loss to the",8,3.42384407814068e-06,"loss","to","the"
"lost in a",5,2.13990254883793e-06,"lost","in","a"
"lost in the",15,6.41970764651378e-06,"lost","in","the"
"lot a lot",5,2.13990254883793e-06,"lot","a","lot"
"lot like the",9,3.85182458790827e-06,"lot","like","the"
"lot more than",7,2.9958635683731e-06,"lot","more","than"
"lot of different",5,2.13990254883793e-06,"lot","of","different"
"lot of fun",24,1.0271532234422e-05,"lot","of","fun"
"lot of good",8,3.42384407814068e-06,"lot","of","good"
"lot of guys",5,2.13990254883793e-06,"lot","of","guys"
"lot of it",5,2.13990254883793e-06,"lot","of","it"
"lot of money",13,5.56374662697861e-06,"lot","of","money"
"lot of my",8,3.42384407814068e-06,"lot","of","my"
"lot of new",6,2.56788305860551e-06,"lot","of","new"
"lot of other",6,2.56788305860551e-06,"lot","of","other"
"lot of our",5,2.13990254883793e-06,"lot","of","our"
"lot of people",38,1.62632593711682e-05,"lot","of","people"
"lot of questions",7,2.9958635683731e-06,"lot","of","questions"
"lot of stuff",6,2.56788305860551e-06,"lot","of","stuff"
"lot of the",26,1.11274932539572e-05,"lot","of","the"
"lot of them",12,5.13576611721102e-06,"lot","of","them"
"lot of things",20,8.5596101953517e-06,"lot","of","things"
"lot of time",20,8.5596101953517e-06,"lot","of","time"
"lot of work",18,7.70364917581653e-06,"lot","of","work"
"lots and lots",8,3.42384407814068e-06,"lots","and","lots"
"lots of fun",15,6.41970764651378e-06,"lots","of","fun"
"lots of great",9,3.85182458790827e-06,"lots","of","great"
"lots of other",8,3.42384407814068e-06,"lots","of","other"
"lots of people",10,4.27980509767585e-06,"lots","of","people"
"lots of things",9,3.85182458790827e-06,"lots","of","things"
"lots to do",6,2.56788305860551e-06,"lots","to","do"
"louis public schools",7,2.9958635683731e-06,"louis","public","schools"
"love a good",7,2.9958635683731e-06,"love","a","good"
"love all the",7,2.9958635683731e-06,"love","all","the"
"love and respect",6,2.56788305860551e-06,"love","and","respect"
"love and support",6,2.56788305860551e-06,"love","and","support"
"love does not",5,2.13990254883793e-06,"love","does","not"
"love each other",5,2.13990254883793e-06,"love","each","other"
"love for the",5,2.13990254883793e-06,"love","for","the"
"love for you",5,2.13990254883793e-06,"love","for","you"
"love hate relationship",5,2.13990254883793e-06,"love","hate","relationship"
"love her i",9,3.85182458790827e-06,"love","her","i"
"love is a",11,4.70778560744344e-06,"love","is","a"
"love is like",5,2.13990254883793e-06,"love","is","like"
"love is the",7,2.9958635683731e-06,"love","is","the"
"love it and",5,2.13990254883793e-06,"love","it","and"
"love it i",13,5.56374662697861e-06,"love","it","i"
"love it if",5,2.13990254883793e-06,"love","it","if"
"love it it",5,2.13990254883793e-06,"love","it","it"
"love it the",7,2.9958635683731e-06,"love","it","the"
"love it when",19,8.13162968558412e-06,"love","it","when"
"love love love",16,6.84768815628136e-06,"love","love","love"
"love me and",5,2.13990254883793e-06,"love","me","and"
"love me some",6,2.56788305860551e-06,"love","me","some"
"love my job",7,2.9958635683731e-06,"love","my","job"
"love my life",5,2.13990254883793e-06,"love","my","life"
"love of god",5,2.13990254883793e-06,"love","of","god"
"love of the",6,2.56788305860551e-06,"love","of","the"
"love that i",8,3.42384407814068e-06,"love","that","i"
"love that song",6,2.56788305860551e-06,"love","that","song"
"love that you",7,2.9958635683731e-06,"love","that","you"
"love the new",7,2.9958635683731e-06,"love","the","new"
"love the show",5,2.13990254883793e-06,"love","the","show"
"love to be",11,4.70778560744344e-06,"love","to","be"
"love to do",12,5.13576611721102e-06,"love","to","do"
"love to get",10,4.27980509767585e-06,"love","to","get"
"love to have",26,1.11274932539572e-05,"love","to","have"
"love to hear",20,8.5596101953517e-06,"love","to","hear"
"love to help",5,2.13990254883793e-06,"love","to","help"
"love to know",8,3.42384407814068e-06,"love","to","know"
"love to see",33,1.41233568223303e-05,"love","to","see"
"love to share",7,2.9958635683731e-06,"love","to","share"
